name,price,Original Price,category,site
"Xiaomi Redmi Pad SE WiFi 11"" FHD+ 90HZ refresh rate, Snapdragon 680 CPU, 8GB Ram+256GB ROM, Quad Speakers with Dolby Atmos, 8000mAh Bluetooth 5.3 8MP + Graphite Gray |1 year manufacturer warranty","10,000..00","EGP 10,999.00",Tablet,amazon
G-TAB PAD10 Pro Tablet Android 14.0 IPS Display 800x1280 Resolution - 128GB Storage - 4GB RAM Memory - 10.1 Inch Screen - Grey,"4,299..00","EGP 4,772.00",Tablet,amazon
Honor Pad X9 11.5 Inches Space Gray 4GB RAM 128GB Wi-Fi TFT LCD (IPS) 7250 mAh with Flip Cover - Middle East Version,"8,340..00","EGP 10,355.80",Tablet,amazon
"Apple 2022 10.9-inch iPad (Wi-Fi, 64GB) - Silver (10th generation)","17,470..00","EGP 17,990.00",Tablet,amazon
"Samsung Galaxy Tab A9 4G LTE, 8.7 Inch Android Tablet, 8GB RAM, 128GB Storage, 8MP Rear Camera, Navy-1 Year Warranty/Local Version","9,400..00","EGP 13,100.00",Tablet,amazon
"Samsung Galaxy Tab S9 FE+ 5G Android Tablet, 12.4 inches Display, 8GB RAM, 128GB Storage, S Pen Included, Gray - 1 Year Warranty/Local Version","29,950..00","EGP 36,999.00",Tablet,amazon
CWOWDEFU Touch Tablet for Children 7 Inch Android Tablet PC Child Tablet with WiFi Stylus Kids Tablet (Pink),"4,900..00",N/A,Tablet,amazon
"G-Tab T8S Tablet (WiFi) 5G (RAM :4+4GB, ROM :64GB) 8 inch IPS LCD 800x1280, 5000 mAh Battery, Android 14, Camera 2MP front + 5MP rear, Silicon Case,1 Year Warranty, Purple","3,190..00",N/A,Tablet,amazon
"Apple iPad (9th Generation): with Bionic chip, 10.2-inch Retina Display, 64GB, Wi-Fi, 12MP front/8MP Back Camera, Touch ID, All-Day Battery Life – Silver","13,850..00",N/A,Tablet,amazon
"Apple iPad Air 11-inch (M2): Liquid Retina display, 128GB, Landscape 12MP Front Camera/12MP Back Camera, Wi-Fi 6E, Touch ID, All-Day Battery Life - Blue","33,350..00","EGP 36,699.00",Tablet,amazon
G-Tab T9 Tablet/10.1 Inch/5G Wifi Tablet/IPS 800x1280/Android 14/2.0GHz Quad Core Processor/5500 mAh/3+3) GB RAM/64 GB ROM/2MP Front + 5MP Rear Camera (Blue),"3,688..00",N/A,Tablet,amazon
"Samsung Galaxy Tab S9 FE+ 5G Android Tablet, 8GB RAM, 128GB Storage, S Pen Included, Mint","29,950..00",N/A,Tablet,amazon
"HUAWEI MatePad 11.5""S Papermatte Tablet, 120Hz Eye-soothing HUAWEI FullView Display, All-metal Unibody Sleek Design, in-box with detachable keyboard, 8GB+256GB, Wifi, Grey","23,499..00",N/A,Tablet,amazon
"Samsung Galaxy Tab S10 Ultra,14.6 Inch AI Android Tablet, 5G, 12GB RAM, 256GB Storage, AMOLED Display, Anti-reflection, Durable, S Pen Included, Platinum Silver 1 Year Warranty/Local Version","62,700..00","EGP 74,445.00",Tablet,amazon
"Apple 2022 10.9-inch iPad (Wi-Fi, 256GB) - Pink (10th generation)","29,699..00",N/A,Tablet,amazon
"HUAWEI MatePad Tablet, 8GB RAM, 256GB Storage, 11.5-inch Display, PaperMatte Edition, 2.2K Resolution, Gray with Smart Keyboard & Band 9-Black & M-Pencil Lite","20,799..00",N/A,Tablet,amazon
"Samsung Galaxy Tab S9 FE 5G Android Tablet, 10.9 inches display, 6GB RAM, 128GB Storage, S Pen Included, Gray -1 Year Warranty/Local Version","24,990..00","EGP 29,999.00",Tablet,amazon
"Samsung Galaxy Tab S10+, AI Tablet, Android Tablet, WIFI, 12GB RAM, 256GB Storage, AMOLED Display, Anti-reflection, Durable, S Pen Included, Moonstone Gray (UAE Version) + Keyboard Cover Free","49,950..00",N/A,Tablet,amazon
"Samsung Galaxy Tab S9 FE+ WiFi Android Tablet, 8GB RAM, 128GB Storage, S Pen Included, Gray (UAE Version)","27,950..00",N/A,Tablet,amazon
"Lenovo Tab P11 2nd Gen, 11.5"" 2K Touch Display, MediaTek Helio G99, 6GB RAM/128GB Storage, 8+13MP, 4G LTE, Wifi, Android, Storm Grey","16,066..46","EGP 23,500.00",Tablet,amazon
"HUAWEI MatePad SE Tablet, 11-inch Eye Comfort Display, Large Capacity Battery, 8GB+128GB, Wifi, M-pencil in-box, Crystal Blue","11,941..28",N/A,Tablet,amazon
"Infinix XPAD 11'' Tablet, 90Hz FHD+, Helio G99, 4G LTE, Folax Voice Assistant with ChatGPT, 4-Speakers Stereo Sound, Android 14 - STELLAR GREY","10,666..00",N/A,Tablet,amazon
"Apple iPad Pro 13-inch (M4): Ultra Retina XDR display, 256GB, Landscape 12MP Front Camera/12MP Back Camera, Wi-Fi 6E + 5G Cellular with eSIM, All-Day Battery Life, Standard glass - Space Black","76,450..00",N/A,Tablet,amazon
"Samsung Galaxy Tab S9+ 5G Android Tablet, 12.4 inches display, 12GB RAM, 256GB Storage MicroSD Slot, S Pen Included, Graphite-1 Year Warranty/Local Version","42,955..86","EGP 55,249.00",Tablet,amazon
"Samsung Galaxy Tab S9 5G Android Tablet, 11 inches display, 8GB RAM, 128GB Storage MicroSD Slot, S Pen Included, Beige -1 Year Warranty/Local Version","43,290..00","EGP 50,999.00",Tablet,amazon
Xiaomi Redmi Pad SE 8GB/256GB Green (Mint Green),"10,500..00",N/A,Tablet,amazon
"Apple 2024 iPad mini (Wi-Fi, 128GB) - Starlight (7th generation)","30,699..00",N/A,Tablet,amazon
"Apple 2024 11-inch iPad Air (M2): Liquid Retina Display, 128 GB, 12MP Landscape Front Camera/12MP Back Camera, Wi-Fi 6E, Touch ID, All Day Battery - Blue","33,250..00",N/A,Tablet,amazon
"Xiaomi Redmi Pad Pro WiFi Version 12.1"" Octa Core Global ROM 10000mAh Bluetooth 5.3 8MP Dual Camera (Mint Green, 256GB + 8GB)","19,999..99",N/A,Tablet,amazon
"Apple 11-inch iPad Pro (M4): Ultra Retina XDR Display, 256GB, 12MP Landscape Front Camera/12MP Back Camera, LiDAR Scanner, Wi-Fi 6E, Face ID, All Day Battery - Space Black","51,899..00",N/A,Tablet,amazon
"Lenovo Tab M10 Plus (3rd Gen) 2023 (ZAAM0139SE) | 10.61 inch (2000x1200 px, Touch) | Tablet PC (Octa-Core, 4GB RAM, 64GB, WLAN, Android 12) | Grey","8,999..00",N/A,Tablet,amazon
"Apple iPad Pro 13-inch (M4): Ultra Retina XDR display, 256GB, Landscape 12MP Front Camera/12MP Back Camera, LiDAR scanner, Wi-Fi 6E, Face ID, All-Day Battery Life, Standard glass - Silver","68,499..00",N/A,Tablet,amazon
"Apple iPad Pro 13-inch (M4): Ultra Retina XDR display, 512GB, Landscape 12MP Front Camera/12MP Back Camera, LiDAR scanner, Wi-Fi 6E, Face ID, All-Day Battery Life, Standard glass - Space Black","77,950..00",N/A,Tablet,amazon
"Apple 2022 10.9-inch iPad (Wi-Fi, 64GB) - Blue (10th generation)",N/A,N/A,Tablet,amazon
"Apple 10th Gen Wi-Fi 256GB iPad, 10.9-Inch Size, Blue","27,500..00","EGP 28,400.00",Tablet,amazon
"Samsung Galaxy Tab S9 FE WiFi Android Tablet, Amazon Exclusive 2-year Samsung Care+, 256GB, S Pen Included, Silver (UAE Version)","23,950..00",N/A,Tablet,amazon
"Apple 2024 iPad mini (Wi-Fi, 128GB) - Space Grey (7th generation)","30,799..00",N/A,Tablet,amazon
"Apple iPad Air 13-inch (M2): Liquid Retina display, 128GB, Landscape 12MP Front Camera/12MP Back Camera, Wi-Fi 6E, Touch ID, All-Day Battery Life - Starlight","48,299..00",N/A,Tablet,amazon
"Apple iPad Air 13-inch (M2): Liquid Retina display, 128GB, Landscape 12MP Front Camera/12MP Back Camera, Wi-Fi 6E, Touch ID, All-Day Battery Life - Purple","47,999..00",N/A,Tablet,amazon
"Apple 2022 10.9-inch iPad (Wi-Fi + Cellular, 64GB) - Yellow (10th generation)","27,401..00",N/A,Tablet,amazon
"Apple iPad Pro 13-inch (M4): Ultra Retina XDR display, 256GB, Landscape 12MP Front Camera/12MP Back Camera, Wi-Fi 6E + 5G Cellular with eSIM, All-Day Battery Life, Standard glass - Space Black","71,950..00",N/A,Tablet,amazon
"Realme Pad - 10.4 Inches IPS LCD, 6GB RAM, 128GB, 4G LTE - Gray","9,500..49","EGP 11,729.00",Tablet,amazon
"Apple iPad Air 11-inch (M2): Liquid Retina display, 128GB, Landscape 12MP Front Camera/12MP Back Camera, Wi-Fi 6E, Touch ID, All-Day Battery Life - Space Grey","35,387..57","EGP 36,699.00",Tablet,amazon
Infinix XPAD 4+128 GB STELLAR GREY,"7,888..00",N/A,Tablet,amazon
"HONOR Pad 9 Tablets 8GB 256GB, 12.1 Inch 120Hz 2.5K Large Screen, 8 Speaker Audio System, Snapdragon 6 Gen 1, WiFi Version, Grey","22,774..35",N/A,Tablet,amazon
"Samsung Galaxy Tab S10 Ultra, AI Tablet, Android Tablet, WIFI, 12GB RAM, 256GB Storage, AMOLED Display, Anti-reflection, Durable, S Pen Included, Moonstone Gray (UAE Version)","55,950..00","EGP 58,950.00",Tablet,amazon
"Samsung Galaxy Tab S9 FE WiFi Android Tablet, 6GB RAM, 128GB Storage, S Pen Included, Gray (UAE Version)","21,444..00","EGP 22,999.00",Tablet,amazon
H6 Android 9.0 TV Box 4GB RAM - 32 GB ROM,"2,700..00",N/A,Tablet,amazon
"Apple iPad Air 11-inch (M2): Liquid Retina display, 128GB, Landscape 12MP Front Camera/12MP Back Camera, Wi-Fi 6E, Touch ID, All-Day Battery Life - Starlight","33,450..00",N/A,Tablet,amazon
"Samsung Galaxy Tab S9 FE Plus Tablet, Silver 8 GB RAM, 128 GB Storage (Samsung Turkey Warranty) wifi","27,990..00",N/A,Tablet,amazon
"Apple iPad Air 11-inch (M2): Liquid Retina display, 128GB, Landscape 12MP Front Camera/12MP Back Camera, Wi-Fi 6E, Touch ID, All-Day Battery Life - Purple","32,990..00",N/A,Tablet,amazon
"Apple 2022 10.9-inch iPad (Wi-Fi, 64GB) - Pink (10th generation)",N/A,N/A,Tablet,amazon
"Samsung Galaxy Tab S9 FE 10.9"" Screen, WiFi AI Tablet, 256GB, S Pen Included, Gray (UAE Version)","23,333..00","EGP 24,998.00",Tablet,amazon
"Apple iPad Pro 11-inch (M4): Ultra Retina XDR display, 512GB, Landscape 12MP Front Camera/12MP Back Camera, LiDAR scanner, Wi-Fi 6E, Face ID, All-Day Battery Life, Standard glass - Space Black","65,950..00",N/A,Tablet,amazon
"Apple iPad Air 13-inch (M2): Built for Apple Intelligence, Liquid Retina Display, 256GB, 12MP Front/Back Camera, Wi-Fi 6E, Touch ID, All-Day Battery Life — Blue","49,299..00",N/A,Tablet,amazon
"Samsung Galaxy Tab S10+, AI Tablet, Android Tablet, WIFI, 12GB RAM, 256GB Storage, AMOLED Display, Anti-reflection, Durable, S Pen Included, Platinum Silver (UAE Version) + Keyboard Cover Free","49,950..00",N/A,Tablet,amazon
"Apple 2024 11-inch iPad Air (Wi-Fi, 256GB) - Blue (M2)","40,700..00",N/A,Tablet,amazon
"Apple 2022 12.9-inch iPad Pro (Wi-Fi, 256GB) - Silver (6th generation)","56,100..00",N/A,Tablet,amazon
"Apple 13-inch iPad Pro (M4): Ultra Retina XDR Display, 256GB, 12MP Landscape Front Camera/12MP Back Camera, LiDAR Scanner, Wi-Fi 6E + 5G Cellular Communication (eSIM), Face ID, All-Day Battery - Space","74,950..00",N/A,Tablet,amazon
"Samsung Galaxy Tab S10 Ultra,AI Tablet,Android Tablet,WIFI,12GB RAM,256GB Storage, AMOLED Display,S Pen Included,Moonstone Gray(KSA Version)+Samsung Galaxy Tab S10 Ultra Book Cover Keyboard Slim","62,950..00",N/A,Tablet,amazon
"Apple iPad Air 11-inch (M2): Liquid Retina display, 256GB, Landscape 12MP Front Camera/12MP Back Camera, Wi-Fi 6E, Touch ID, All-Day Battery Life - Blue","39,450..00",N/A,Tablet,amazon
"HUAWEI MatePad Pro 12.2"" Tablet PaperMatte Edition Pad 12GB+512GB Tab, HUAWEI Glide Keyboard, 2.8K Tandem OLED FullView Display, 144 Hz Refresh Rate + Huawei freebuds pro 3 + huawei M-Pencil","50,979..00",N/A,Tablet,amazon
Xiaomi Redmi Pad SE 8.7 128GB 6RAM EU Black,N/A,N/A,Tablet,amazon
Kids Tablet 10.1 Inch Android 13 with Touch Screen 1280x800 IPS Quad-Core 64GB ROM Educational and Entertaining Parental Control Tablet with Shockproof Case (Pink),"8,300..00",N/A,Tablet,amazon
"Realme Pad Mini 3GB RAM, 32GB ROM - Blue","6,619..00",N/A,Tablet,amazon
Google Pixel Tablet (Wi-Fi + Bluetooth) with Charging Speaker Dock - 128GB Storage + 8GB RAM Android OS (Hazel),"32,850..00",N/A,Tablet,amazon
Starnet 4000 Twin Plus 8 K Android,"7,650..00",N/A,Tablet,amazon
"Tablet 2025 11 Inch Tablet Android 14 Tablets with 128GB + 20GB Large Storage, Octa-Core 2.0Ghz, 8000mAh,18W Fast Charging, 5G WiFi, GPS, 5+13MP Camera, Widevine L1, Face Unlock-Black","21,800..00",N/A,Tablet,amazon
"SHOUDUM Android 13 Tablet,10.1 Inch Android Tablet, 8GB RAM 128GB ROM 512GB Expand, Octa-Core Processor, 1280x800 IPS HD Touchscreen, 6000mAh Battery, GPS, WiFi, Dual Camera, Bluetooth, Silver","17,800..00",N/A,Tablet,amazon
"Huawei MatePad Pro 13.2"" Tablet, Ultra-Slim, High-Performance OLED Display With 12G Ram And 512GB Storage Capacity - Flowing gold","72,466..77",N/A,Tablet,amazon
"Fusion5 10 inch Windows 11 Tablet PC - Ultra Slim Windows Tablet Computer - (8GB RAM, Full HD 10"" Display, 5G WiFi, Intel Quad-Core CPU, USB 3.0, Micro HDMI, Dual Cameras, Bluetooth 4.4) - 128GB","27,400..00",N/A,Tablet,amazon
"High Accuracy 0.01ph Digital Water pH Meter for Hydroponics, Home Drinking, Swimming Pool, Aquarium",699..00,N/A,Tablet,amazon
"HMD T21 TA-1596 DS 4 GB/128 GB Nano Sim Tablet with 20W Charger and Type-C Cable, Blacksteel","8,445..18","EGP 10,000.00",Tablet,amazon
"Lenovo Tab 7 TB-7304i Tablet - 7 Inch, 16GB, 1GB RAM, 3G, Slate Black",N/A,N/A,Tablet,amazon
7 Inch Bluetooth Card Memory Flash Touch Mirror Link,"1,534..61",N/A,Tablet,amazon
Small Buzzer 9V,125..98,N/A,Tablet,amazon
"Lenovo Legion Go Upgraded SSD, 8.8 Inch 144Hz WQXGA Gaming Handheld PC, Touchscreen Video Game Console,16GB RAM, AMD Ryzen Z1 Extreme Processor, Shadow Black (512GB)","46,591..00",N/A,Tablet,amazon
"TCL Apollo 9032X Tablet, 8 Inch HD, 32 GB, 2 GB RAM, 4G - Black with Flip Case",N/A,N/A,Tablet,amazon
"Huawei MatePad SE 11"" Tablet With 8GB RAM And 128GB Storage Capacity, WiFi - Nebula Gray","10,350..00",N/A,Tablet,amazon
Fujifilm Fujinon XF33mmF1.4 R LM WR,"72,763..79",N/A,Tablet,amazon
"Samsung Galaxy Tab S9 FE+ 5G Android Tablet, 12GB RAM, 256GB Storage, S Pen Included, Lavender",N/A,N/A,Tablet,amazon
"Apple iPad Air 11-inch (M2): Liquid Retina display, 256GB, Landscape 12MP Front Camera/12MP Back Camera, Wi-Fi 6E, Touch ID, All-Day Battery Life - Space Grey","39,350..00",N/A,Tablet,amazon
"AWOW Windows 11 Tablet PC Intel N100 Quad-Core Processor, 12GB DDR5 RAM 256GB Storage, 10.1 Inch 2 in 1 Laptop Touchscreen with Detachable Keyboard, 2.4G+5G WiFi, Bluetooth, USB3.0, HDMI","28,800..00",N/A,Tablet,amazon
10Pcs-100K OHM-Potentiometer Variable Resistor,144..00,N/A,Tablet,amazon
"DOOGEE T30 Pro 13 11-Inch Android Touch Tablet with 2.5K Helio G99 Octa-Core Screen 15GB RAM+256GB ROM /2TB TF, 8580mAh/33W, 20MP Dual SIM 4G LTE +5G WiFi Widevine L1/TÜV Certificate","19,850..00",N/A,Tablet,amazon
"Tablet 2024 Newest 11 Inch Tablet Android 14 Tablets with 128GB + 20GB Large Storage, Octa-Core 2.0Ghz, 8000mAh,18W Fast Charging, 5G WiFi, GPS, 5+13MP Camera, Widevine L1, Face Unlock-Gold","23,890..00",N/A,Tablet,amazon
"Apple 2022 10.9-inch iPad (Wi-Fi + Cellular, 64GB) - Blue (10th generation)","27,999..00",N/A,Tablet,amazon
gamepad pubg W10,85..00,N/A,Tablet,amazon
ELMO3EZZ جراب ايباد سمارت يدعم شاشة تعمل باللمس وخاصية تشغيل/ايقاف تلقائي مع حامل قلم جيل ثاني للشحن التلقائي، لايباد برو الجديد 11 بوصة 2022 (جيل رابع)/2021 (جيل ثالث)/ 2020 (جيل ثاني) من (Red),600..00,N/A,Tablet,amazon
"CWOWDEFU Kids Tablet,Android 11 Tablet 8 Inch,5MP+8MP,2GB RAM 32GB ROM(TF 128GB),IPS HD 1280*800 Display,Quad-Core,WiFi,Learning Tablets with Kid-Proof Case Stand (pink)","8,000..00",N/A,Tablet,amazon
"Blackview Tab 9 WiFi Tablet 11 Inch, Android 14 Tablet with 18GB RAM 256GB ROM/2TB TF, 5G WiFi/8MP+13MP/Widevine L1/8200mAh/Face ID Tablet PC, Gaming Tablet, Includes Tempered Film and Case","22,999..00",N/A,Tablet,amazon
"Samsung Galaxy Tab S9 WiFi Android Tablet, 8GB RAM, 128GB Storage MicroSD Slot, S Pen Included, Beige (UAE Version)","31,950..00",N/A,Tablet,amazon
"Samsung Galaxy Tab S9 FE+ WiFi Android Tablet, 12GB RAM, 256GB Storage, S Pen Included, Gray (UAE Version)","32,950..00",N/A,Tablet,amazon
"Windows Tablet with Keyboard, 11.6 inch 2-in-1 Tablets Laptops Touchscreen Windows 11, Intel Celeron, 1920 * 1080 IPS 6GB RAM 128GB EMMC 2.4G/5G WiFi Bluetooth HDMI USB","30,999..00",N/A,Tablet,amazon
"Xiaomi Tablet Pad 6S Pro 3K 12.4"" 144Hz, 256GB/8GB RAM, Snapdragon@8 Gen 2 3.19GHz, 10,000 mAh 120W, Black (French Version + 2 Year Warranty)","49,999..99",N/A,Tablet,amazon
"Fusion5 10.1"" Windows 11 Full HD Tablet PC - FWIN232 PRO N5 Ultra Slim Tablet Computer - 8GB RAM, 256GB SSD Storage, N100 Quad-Core CPU, 10 Inch, 5G WiFi, HD Webcam, Micro HDMI, Expandable Storage","31,999..00",N/A,Tablet,amazon
"Android 14 Tablet, 8.4 inch Helio G99 iPlay 60 Mini Pro Tablet, 16GB RAM 128GB ROM 512GB Expandable, FHD 1920x1200 Display, Widevine L1, 6050mAh, 5MP/13MP Camera, 4G LTE Bluetooth 5.2","24,400..00",N/A,Tablet,amazon
"Samsung Galaxy Tab S9 FE+ WiFi Android Tablet, 12GB RAM, 256GB Storage, S Pen Included, Silver (UAE Version)","31,950..00",N/A,Tablet,amazon
"DOOGEE T20 Tablet, 15GB RAM + 256GB ROM (TF 1TB) Octa-Core, Battery 8300mAh, 10.4 2K Full Screen Display Pollici, Dual 4G LTE/SIM, Camera 16MP + 8MP, Android 12, GPS Face ID OTG Blue","21,980..00",N/A,Tablet,amazon
Samsung galaxy tab s8+ 5g graphite 256gb,"60,000..00",N/A,Tablet,amazon
Borofone BH24 Bright shell tablet PC stand - white,340..00,N/A,Tablet,amazon
Wacom Intuos Pro Large PTH-860-N,"36,364..00",N/A,Tablet,amazon
"Kids Tablet - 7 Inch, 8GB RAM + 256GB ROM, WiFi (5G), Android 13, 5000mAh Battery, Shock Resistant Screen, Gifts - Multicolor","1,799..00",N/A,Tablet,amazon
AD330 Professional Waterproof Conductivity-TDS-TEMP Portable Meter with GLP ADWA,"16,950..00",N/A,Tablet,amazon
The HK 10 Ultra 3,N/A,N/A,Tablet,amazon
"Windows 11 Tablet 10.1"" HD Touchscreen, 8GB RAM+ 128GB SSD, Detachable Keyboard, Intel N4120, Type C+USB+HDMI, Portable for Work, Study, CNC & Home Use","24,600..00",N/A,Tablet,amazon
"iPlay 60 Pro 11 inch Tablet, 90Hz Reflex 1920x1200 FHD Android 14 Tablet, 16GB(6+10)RAM+128GB+1.5TB Expand, MediaTek Helio G99 Octa-core, Widevine L1, 7000mAh, Quad Speaker, 4G/Wifi5, PD 18W","19,999..00",N/A,Tablet,amazon
"Fusion5 10.1"" Windows 11 Professional Tablet PC - Ultra Slim Full HD Windows Tablet Computer - 8GB RAM, 256GB M.2 SSD, 10 Inch Display, 5G WiFi, Intel Quad-Core CPU, USB 3.0, Micro HDMI, Dual Cameras","37,860..00",N/A,Tablet,amazon
"HONOR MagicPad2 Tablet 12GB + 256GB, 12.3 Inch 144Hz OLED Display, Snapdragon 8s Gen 3, 10050mAh Battery, 8 Speakers, Android 14 Tablet WiFi Version, Google Service, Moonlight White","47,999..00",N/A,Tablet,amazon
"Android 14 Tablet, 20GB RAM, 256GB ROM, Dual AI Camera","29,499..00",N/A,Tablet,amazon
"Tablet, Android 14 Tablet with 12GB (4+8) RAM 64GB ROM, Octa-Core Processor Tablet with Keyboard, Mouse, 10.1 Inch 1280 * 800 IPS Touch Screen, Dual Camera, WiFi 6, BT 5.4, 6000mAh Battery","100,000..00",N/A,Tablet,amazon
